id,vendor_id,duration,flex_time,buffer_post,active,sort_order,classification,created,updated
19063,2593,60,0,30,1,15,11,2021-06-18 06:38:30,2021-07-20 20:06:46
19071,2563,60,0,30,1,37,10,2021-06-23 16:29:44,2022-06-21 14:46:02
19102,2563,60,0,15,1,49,1,2021-07-05 05:10:49,2021-07-05 05:10:49
19128,1683,30,1,0,1,7,1,2021-07-09 21:36:22,2025-07-22 21:18:53
19189,2593,30,0,0,1,22,10,2021-08-05 15:44:36,2023-12-29 16:16:33
19198,2512,90,0,0,1,7,15,2021-08-11 03:48:56,2024-10-22 15:11:50
19231,1741,30,0,0,1,97,1,2021-08-31 19:04:55,2021-08-31 19:05:38
19245,1478,60,0,0,1,16,1,2021-09-01 01:42:15,2022-03-16 22:29:09
19282,2573,30,0,0,1,60,7,2021-09-09 18:36:39,2023-05-26 14:06:50
19286,2596,60,0,30,1,43,18,2021-09-10 18:04:13,2024-06-21 17:49:18
19296,2596,60,0,30,1,34,15,2021-09-10 18:04:14,2024-06-21 17:49:19
19300,2596,60,0,0,1,3,12,2021-09-10 18:04:14,2025-03-07 18:31:21
19304,2596,60,0,0,1,9,10,2021-09-10 18:04:14,2024-06-21 17:49:19
19311,2596,60,0,0,1,17,15,2021-09-10 18:04:15,2024-06-21 17:49:19
19313,2596,60,0,0,1,18,11,2021-09-10 18:04:15,2024-06-21 17:49:19
19315,2596,30,0,0,1,25,11,2021-09-10 18:04:15,2024-06-21 17:49:19
19316,2596,60,0,0,1,24,15,2021-09-10 18:04:15,2024-06-21 17:49:20
19322,2596,60,0,30,1,26,18,2021-09-10 18:04:15,2024-06-21 17:49:20
19335,2597,60,0,30,1,5,15,2021-09-13 23:20:56,2022-02-01 15:15:45
19411,2552,30,0,15,1,24,1,2021-10-16 01:26:02,2022-09-16 12:05:44
19414,2552,15,0,15,1,28,1,2021-10-16 01:26:02,2022-09-16 12:05:44
19415,2552,30,0,15,1,27,1,2021-10-16 01:26:02,2022-09-16 12:05:44
19417,2552,15,0,15,1,29,2,2021-10-16 01:26:02,2022-09-16 12:05:44
19486,2573,60,0,15,1,67,15,2021-12-14 18:05:47,2023-05-26 14:06:16
19487,2601,30,0,15,0,1,1,2021-12-15 03:55:55,2023-04-06 12:58:15
19490,2601,15,0,15,1,20,10,2021-12-15 03:55:55,2022-12-13 21:05:09
19503,2585,60,0,0,1,24,7,2022-01-04 21:22:48,2026-05-06 02:28:34
19511,2602,30,0,0,1,5,8,2022-01-19 15:50:08,2022-08-31 15:06:17
19584,1514,60,0,0,1,7,1,2022-03-01 20:50:18,2022-10-07 00:28:00
19603,1514,60,0,0,1,13,1,2022-03-16 23:33:49,2022-10-07 00:28:00
19606,2548,30,0,0,1,24,8,2022-03-17 18:56:32,2023-05-31 17:54:52
19612,2554,60,0,30,1,22,3,2022-03-23 11:35:11,2026-04-24 19:13:52
19628,2604,15,0,0,1,10,1,2022-03-29 18:51:54,2023-10-31 14:37:10
19653,2603,60,0,30,1,3,11,2022-04-04 14:01:03,2023-05-10 23:16:35
19655,2603,60,0,30,1,5,10,2022-04-04 14:01:03,2023-05-01 17:20:51
19659,2603,60,0,30,1,9,3,2022-04-04 14:01:03,2024-03-14 15:54:35
19672,2585,60,0,0,0,26,10,2022-04-07 19:06:41,2025-01-09 20:58:59
19692,2532,30,0,30,1,67,2,2022-04-19 17:06:03,2025-11-25 22:26:20
19695,2532,45,0,15,1,68,2,2022-04-19 21:10:36,2026-03-04 18:21:44
19700,2532,15,0,15,1,73,2,2022-04-20 23:26:52,2025-11-25 22:26:20
19705,2532,45,0,15,1,78,10,2022-04-21 18:55:06,2025-11-25 22:26:20
19706,2532,45,0,15,1,79,2,2022-04-21 19:13:38,2025-11-25 22:26:20
19707,2532,45,0,15,1,80,2,2022-04-21 19:33:54,2025-11-25 22:26:20
19708,2532,45,0,15,1,81,10,2022-04-21 19:46:21,2025-11-25 22:26:20
19714,2610,30,0,0,1,1,1,2022-04-28 21:13:07,2022-07-27 15:37:50
